内容,分类,页码,长度
署全流程的标准化和自动化；2023 年，月均自动化发布应用数较2022 年提升约11%。二是加强共享,财务数据,49,50
服务数量同比提升约23%。,财务数据,50,13
约24%，用户使用自助率同比提升9.6 个百分点。三是持续挖掘数据价值，建立数据分级分享体系，,财务数据,50,47
打通数据建模、策略研发、场景应用的数据应用服务链路，2023 年末，累计创建约2.2 万个画像标,业务回顾,50,48
程第一阶段实施；2023 年末，本行应用微服务改造率超60%，应用上容器云比例约63%。二是完善,财务数据,50,48
生数量同比下降约36%。三是构筑新形势下网络安全纵深防御体系，加强数据安全管控，安全风险,财务数据,50,44
本行的全资子公司平安理财于2020 年8 月正式开业，注册资本为人民币50 亿元，主要业务为,财务数据,50,46
"113.93 亿元，净资产105.47 亿元，全年实现净利润18.85 亿元；平安理财管理的理财产品余额10,130.60",财务数据,50,61
亿元，较上年末增长14.2%。,财务数据,50,15
"销合作，2023 年末，平安理财已与超40 家同业银行合作开展代销业务，代销余额超3,400 亿元。二",财务数据,50,51
"超2,600 亿元，投资ESG 及绿色金融资产超490 亿元。",财务数据,50,31
2023 年，本集团净息差为2.38%，同比2022 年下降37 个基点。在让利实体经济、市场利率下,财务数据,51,50
贷款方面 从逾期看：逾期贷款余额占比1.42%，较上年末下降0.14 个百分点；逾期60 天以上,财务数据,51,48
贷款占比0.78%，较上年末下降0.09 个百分点；逾期90 天以上贷款占比0.62%，较上年末下降0.11,财务数据,51,54
个百分点。从分类看：关注贷款占比1.75%，较上年末下降0.07 个百分点；不良贷款率1.06%，较上,财务数据,51,51
为0.74 和0.59，较上年末分别下降0.09 和0.10。从生成率看：不良贷款生成率4 1.89%，同比上升,财务数据,51,56
0.17 个百分点。从拨备覆盖率看：本行拨备覆盖率277.63%，较上年末下降12.65 个百分点；逾期60,财务数据,51,54
天以上贷款拨备覆盖率及逾期90 天以上贷款拨备覆盖率分别为374.10%和469.25%，较上年末分别,财务数据,51,51
上升23.02 和50.03 个百分点；此外，本行拨贷比2.94%，较上年末下降0.10 个百分点。,财务数据,51,50
"及或有信贷、自营债券投资、自营非标投资等承担信用风险的业务余额合计2,841.96 亿元，较上年",财务数据,52,48
末减少394.39 亿元；本集团理财资金出资、委托贷款、合作机构管理代销信托及基金、主承销债务,财务数据,52,47
融资工具等不承担信用风险的业务余额合计807.95 亿元，较上年末减少87.74 亿元。其中：,财务数据,52,47
"（1）承担信用风险的涉房业务主要是对公房地产贷款余额2,553.22 亿元，较上年末减少281.62",财务数据,52,50
亿元。其中房地产开发贷820.05 亿元，占本行发放贷款和垫款本金总额的2.4%，较上年末下降0.4,财务数据,52,50
个百分点，全部落实有效抵押，平均抵押率40.9%，95.8%分布在一、二线城市城区及大湾区、长三,财务数据,52,48
"角区域；经营性物业贷、并购贷款及其他合计1,733.17 亿元，以成熟物业抵押为主，平均抵押率48.7%，",财务数据,52,53
94.1%分布在一、二线城市城区及大湾区、长三角区域。2023年末，本行对公房地产贷款不良率0.86%，,财务数据,52,52
（2）不承担信用风险的涉房业务主要是合作机构管理代销信托及基金340.85 亿元，较上年末减,财务数据,52,46
少87.48 亿元，其中底层资产可对应至具体项目或有优质股权质押的产品规模239.54 亿元，88.5%分,财务数据,52,53
"政府融资平台广义口径风险业务余额1,721.86 亿元（含实有及或有信贷、债券投资、自营及理财资",财务数据,53,48
金投资等业务），较上年末增加168.62 亿元。其中，地方政府融资平台（含整改为一般公司类贷款,财务数据,53,47
和仍按平台管理贷款）贷款余额789.93 亿元，较上年末增加118.09 亿元，增幅17.6%，占发放贷款,财务数据,53,53
和垫款本金总额的比例为2.3%，较上年末上升0.3 个百分点，地方政府融资平台贷款质量良好，无,财务数据,53,47
率及资本充足率分别为9.22%、10.90%及13.43%，较上年末分别上升0.58、0.50 及0.42 个百分点。,财务数据,53,59
户超过对一级资本净额2.5%的信用暴露（包括银行账簿和交易账簿内各类信用风险暴露）。本行将大,财务数据,55,46
66.5211% 2023 年5 月31 日 2023 年6 月1 日,财务数据,64,35
64.5918% 2023 年6 月26 日 2023 年6 月27 日,财务数据,64,36
63.7205% 2023 年11 月14 日 2023 年11 月15 日,财务数据,64,38
62.3970% 2023 年12 月26 日 2023 年12 月27 日,财务数据,64,38
"技术5,739 人，管理支持2,884 人；学历分布为：91.48%具有本科及以上学历，99.49%具有大专及以",财务数据,85,56
的10%至30%之间。本行目前正处于成熟期且有重大资金支出安排的阶段，2021-2023 年度在确保本,财务数据,86,51
金分红方式在当年度利润分配中的比例不低于40%（含40%）。,财务数据,86,30
"2023 年度，本行经审计的净利润为人民币44,570 百万元，可供分配的利润为人民币221,240 百",财务数据,86,52
1、本行法定盈余公积余额已超过股本的50%，暂不提取法定盈余公积。,财务数据,86,33
"2、按照期末风险资产余额的1.5%差额提取一般风险准备，计人民币2,849 百万元。",财务数据,86,42
"经上述利润分配，截至2023 年12 月31 日，本行一般风险准备为人民币65,233 百万元；未分配",财务数据,86,51
"利润余额为人民币218,391 百万元。",财务数据,86,20
"现金股利人民币7.19 元（含税），合计派发现金股利人民币13,953 百万元。本次派发现金股利后，",财务数据,86,50
"本行剩余未分配利润为人民币204,438 百万元。",财务数据,86,25
体股东每10 股派发现金股利人民币2.85 元（含税），不送红股，不以公积金转增股本。本行于2023,公司治理,87,50
全体股东每10 股派发现金股利人民币7.19 元（含税）。不送红股，不以公积金转增股本。该预案须经本行2023 年年,公司治理,88,58
产总额的比例≥0.25%或占当年,财务数据,89,16
度利润总额的比例≥5%；,财务数据,89,12
产总额的比例区间为[0.0125%，,财务数据,89,18
0.25%）或占当年度利润总额的,财务数据,89,16
比例区间为[0.25%，5%）；,财务数据,89,16
产总额的比例＜0.0125%或占当,财务数据,89,17
财务损失金额占当年度营业收入的比例≥1%；,财务数据,89,21
财务损失金额占当年度营业收入的比例区间为[0.05%，,财务数据,89,27
财务损失金额占当年度营业收入的比例＜0.05%。,财务数据,89,24
年度利润总额的比例＜0.25%。,财务数据,90,16
亿元，较上年末增长27.2%。,财务数据,91,15
"信总融资额51,489.58 亿元，较上年末增长4.2%。",财务数据,92,29
"2023 年末，本行单户授信1,000 万元及以下不含票据融资的小微企业贷款（以下简称“普惠型",财务数据,93,47
小微企业贷款”）累计户数103.22 万户，其中贷款金额在100 万元以下的户数占比83.9%，小微企业,财务数据,93,52
"主和个体工商户占绝对主体；贷款余额5,720.80 亿元，较上年末增长8.3%，其中信用类普惠型小微",财务数据,93,50
企业贷款余额739.98 亿元，占普惠型小微企业贷款余额的比例为12.9%；2023 年，普惠型小微企业,财务数据,93,52
"贷款累计发放额4,039.43 亿元，新发放贷款加权平均利率同比下降1.23 个百分点，不良率控制在合",财务数据,93,51
理范围。本行持续支持民营企业发展，2023 年末，民营企业贷款余额较上年末增长2.7%，在企业贷,财务数据,93,48
款余额中的占比为72.0%。,财务数据,93,14
障小微业务的审批效率。2023 年末，本行制造业中长期贷款余额较上年末增长39.1%，高于发放贷,财务数据,93,48
"2023 年，本行投放乡村振兴支持资金371.09 亿元，累计投放1,063.63 亿元；乡村振兴借记卡发",财务数据,94,53
"卡79,376 张，累计发卡193,306 张；惠及农户6.74 万人，累计109.74 万人。",其他,94,48
"行涉农贷款余额1,316.80 亿元，较上年末增加256.72 亿元，增幅24.2%。一是助力国家粮食安全战",财务数据,94,54
"业和教育事业发展。销售助农方面，2023 年，本行新增帮扶农产品销售额3,123.76 万元，累计销售",业务回顾,94,51
额1.87 亿元。,财务数据,94,9
传活动近1.9 万次，触达消费者超3 亿人次。2023 年3 月，本行“金融反诈快闪店”宣教活动入选,其他,95,50
升级“反诈数智人”体系，实现场景化精准宣教；2023 年，本行成功劝阻近1.32 万名被骗客户，全,业务回顾,95,49
额拦截潜在损失4.34 亿元。,财务数据,95,15
不断提升消保智能化水平。2023 年，本行客户通过短信和电话查询平台自助查询超23.8 万次，同比,财务数据,95,49
提升61.3%。,财务数据,95,8
从消费者投诉业务类别看，主要包括信用卡业务投诉占比55.2%，贷款业务投诉占比17.8%，借记卡,财务数据,95,48
业务投诉占比9.0%，债务催收业务投诉占比7.4%，银行代理业务投诉占比2.0%。,财务数据,95,41
"中国平安以其所持的90.75%原平安银行股份及269,005.23",财务数据,97,33
人民币975 万元,财务数据,98,9
人民币150 万元,财务数据,99,9
诉讼共235 笔，涉及金额人民币16.67 亿元。,财务数据,99,25
2023 年4 月10 日，本行在全国银行间债券市场成功发行总额为300 亿元人民币的小型微型企业,财务数据,100,49
贷款专项金融债券（以下简称“本期债券”）。本期债券发行总规模为人民币300 亿元，为3 年期固,财务数据,100,47
定利率债券，票面利率为2.77%，募集资金将依据适用法律和监管部门的批准专项用于发放小型微型,风险提示,100,46
报告期末，平安集团及其控股子公司平安寿险合计持有本行58%的股份，为本行的控股股东。其中，,财务数据,106,45
平安集团持有本行49.56%的股份，平安寿险持有本行8.44%的股份。平安集团向本行派驻董事。平,财务数据,106,48
"110、111、112 层，注册资本：18,210,234,607 元，法定代表人：马明哲，营业范围：投资保险企业；",财务数据,106,58
截至2023 年12 月31 日，直接或间接持有中国平安5%以上股东是卜蜂集团有限公司和深圳市,财务数据,107,47
7.3.6 其他持股在10%以上的法人股东,财务数据,107,21
"深南中路2070、2072 号，注册资本：334,125 万元，法定代表人：向群雄。营业范围：自营和代理",财务数据,107,52
"本：1,000 万元，经营范围：投资兴办实业（具体项目另行申报）；国内商业、物资供销业（不含专",财务数据,108,47
"4.37% 200,000,000 2016 年",财务数据,109,24
持5%以上优先股股份的股东或前10 名优先股股东持股情况,财务数据,109,28
4.37%,财务数据,110,5
1.88%,财务数据,110,5
1.92%,财务数据,110,5
2.41%,财务数据,110,5
"款总额（含应计利息）为人民币3,417,463 百万元，",财务数据,117,28
"贷款减值准备总额为人民币100,045 百万元。债权投",财务数据,117,27
"资总额（含应计利息）为人民币784,307 百万元，债",财务数据,117,27
"权投资减值准备总额为人民币11,840 百万元。信贷",财务数据,117,26
"承诺余额为人民币1,947,183 百万元，相关预计负债",财务数据,117,28
"为人民币13,347 百万元），我们将其作为一项关键",财务数据,117,26
"行的总股本为19,406百万元，每股面值1元。",财务数据,140,23
国家金融监督管理总局的批复，平安理财有限责任公司的注册资本为人民币50亿元，主要从事发行,财务数据,140,44
1%-5%,财务数据,153,5
2.7%-6.6%,财务数据,153,9
1%-5%,财务数据,153,5
2.7%-6.6%,财务数据,153,9
20.0%或10.0%,财务数据,153,11
3%-5%,财务数据,153,5
11.9%-19.4%,财务数据,153,11
1%-5%,财务数据,153,5
9.5%-33.0%,财务数据,153,10
2.5%-33.0%,财务数据,154,10
3%、5%、6%、9%、13%,财务数据,163,15
5%、7%,财务数据,163,5
能用于日常业务。于2023年12月31日，本集团及本行的人民币存款准备金缴存比率为7.0%(2022年,财务数据,164,51
12月31日：7.5%)，外币存款准备金缴存比率为4.0%(2022年12月31日：6.0%)。,财务数据,164,48
备(2022年12月31日：人民币91百万元)，参见附注四、19。,财务数据,165,33
于2023 年12 月31 日，本集团及本行贴现中有人民币26 百万元质押于向中央银行借款协议(2022,财务数据,169,52
年12 月31 日：人民币211 百万元)。,财务数据,169,22
"于2023 年12 月31 日，本集团及本行贴现中有人民币8,829 百万元质押于卖出回购协议的票据",财务数据,169,50
"(2022 年12 月31 日：人民币2,671 百万元)。",财务数据,169,30
"币13,712 百万元并予以终止确认(2022 年度：人民币6,339 百万元)。",财务数据,169,41
"值准备为人民币2,692 百万元(2022 年12 月31 日：人民币3,277 百万元)，参见附注四、6.6。",财务数据,169,56
"的逾期贷款金额为人民币48,551百万元(2022年12月31日：人民币52,042百万元)。",财务数据,171,47
"注： 于2023 年度，本年已核销资产对应的尚未结清合同金额为人民币68,585 百万元(2022 年度：",财务数据,173,53
"人民币59,802 百万元)，本集团及本行仍然力图全额收回合法享有的债权。",财务数据,173,37
"于2023 年12 月31 日，本集团及本行投资的交易性金融资产中有人民币18,101 百万元质押于卖",财务数据,174,51
"于2023 年12 月31 日，本集团及本行投资的债权投资中有人民币31,816 百万元质押于卖出回购",财务数据,175,51
"协议(2022 年12 月31 日：人民币9,091 百万元)；本集团及本行投资的债权投资中有人民币31,059",财务数据,175,56
"百万元质押于国库定期存款(2022 年12 月31 日：人民币22,945 百万元)；本集团及本行投资的债",财务数据,175,53
"权投资中有人民币188,366 百万元质押于向中央银行借款协议(2022 年12 月31 日：人民币130,510",财务数据,175,57
"月31 日：人民币2,037 百万元)；本集团及本行投资的其他债权投资中未有质押于国库定期存款",财务数据,176,47
"(2022 年12 月31 日：人民币1,021 百万元)；本集团及本行投资的其他债权投资中有人民币24,319",财务数据,176,56
"百万元质押于向中央银行借款协议(2022 年12 月31 日：人民币69,709 百万元)。",财务数据,176,46
"具，于处置日的公允价值为人民币772 百万元(2022 年度：人民币1,088 百万元)，该部分权益工",财务数据,178,51
具的终止确认导致从其他综合收益转入留存收益的累计利得为人民币24 百万元(2022 年度：人民,财务数据,178,47
币115 百万元)。,财务数据,178,10
"册资本为人民币5,000 百万元。",财务数据,178,17
人民币1 百万元)。,财务数据,179,10
于2023 年度，本集团及本行来自投资性房地产的租金总收益为人民币50 百万元(2022 年度：人民,财务数据,179,50
币46 百万元)，发生的直接经营费用为1 百万元 (2022 年度：人民币1 百万元)。,财务数据,179,44
于2023 年12 月31 日，本集团及本行原值为人民币74 百万元，净值为人民币14 百万元(2022 年,财务数据,183,54
12 月31 日：原值为人民币63 百万元，净值为人民币15 百万元)的房屋及建筑物已在使用但仍未,财务数据,183,49
币53 百万元(2022 年12 月31 日：人民币152 百万元)。,财务数据,185,35
"本集团于2011 年7 月收购原平安银行，形成商誉人民币7,568 百万元。企业合并取得的商誉分摊",财务数据,187,49
产组特定风险的税前折现率，采用未来现金流量折现的折现率为11.73%(2022 年12 月31 日：,财务数据,187,50
11.51%)。,财务数据,187,8
31.53%,财务数据,195,6
56.99%,财务数据,195,6
31.16%,财务数据,195,6
13.19%,财务数据,195,6
9.46%,财务数据,195,5
5.59%,财务数据,195,5
27.85%,财务数据,195,6
24.23%,财务数据,195,6
100.00%,财务数据,195,7
100.00%,财务数据,195,7
31.44%,财务数据,195,6
57.22%,财务数据,195,6
31.28%,财务数据,195,6
13.29%,财务数据,195,6
9.57%,财务数据,195,5
5.08%,财务数据,195,5
27.71%,财务数据,195,6
24.41%,财务数据,195,6
100.00%,财务数据,195,7
100.00%,财务数据,195,7
于2023 年度，本集团及本行取得以物抵债的担保物账面价值共计人民币1 百万元(2022 年度：人,财务数据,195,49
民币1 百万元)。于2023 年度，本集团及本行处置抵债资产共计人民币267 百万元(2022 年度：人,财务数据,195,52
民币276 百万元)。本集团及本行计划在以后年度通过拍卖、竞价和转让等方式对抵债资产进行处,财务数据,195,45
52.39%,财务数据,196,6
40.26%,财务数据,196,6
在银行间债券市场分别发行了总额为人民币300亿元、人民币200亿元、人民币200亿元、人民,财务数据,209,45
币50亿元、人民币50亿元、人民币200亿元和人民币300亿元的金融债券。该等债券均为3年,财务数据,209,45
期固定利率债券，票面利率分别为2.30%、3.45%、2.45%、2.45%、2.45%、2.45%和2.77%。,财务数据,209,57
余额分别为人民币200.00亿元、人民币199.99亿元、人民币49.99亿元、人民币49.99亿元、,财务数据,209,51
人民币199.99亿元和人民币299.99亿元。,财务数据,209,24
银行间债券市场分别发行了总额为人民币300亿元和人民币300亿元的二级资本债券。该等次,财务数据,209,43
4.55%和3.69%。于2023年12月31日，本行2019年和2021年二级资本债券账面余额分别为人,财务数据,209,52
民币299.87亿元和人民币299.97亿元。,财务数据,209,23
利率区间为2.22%-5.32% (2022年12月31日：原始期限为1个月至1年，年利率区间为,财务数据,209,48
1.65%-3.01%)。,财务数据,209,13
注：于2023年12月31日及2022年12月31日，上述人民币12百万元应付股利，由于股东未领取已逾,财务数据,210,51
"于2023年12月31日，本集团及本行注册及实收股本为人民币19,406百万元，每股面值人民币1元，",财务数据,211,50
100.00%,财务数据,211,7
100.00%,财务数据,211,7
于2016年3月7日，本行按面值完成了2亿股优先股的发行，本行按扣除发行费用后的金额人,其他,211,43
"民币19,953百万元计入其他权益工具。在优先股存续期间，在满足相关要求的情况下，如得",财务数据,211,43
有，并以得到国家金融监督管理总局的批准为前提。发行的优先股票面股息率为4.37%，以,财务数据,211,42
当其他一级资本工具触发事件发生时，即核心一级资本充足率降至5.125%(或以下)时，本次,财务数据,211,44
4.37%,财务数据,211,5
人民币500亿元的减记型无固定期限资本债券。于2019年12月19日，本行发行总额为人民币,财务数据,212,45
200亿元的减记型无固定期限资本债券，该次发行于2019年12月26日发行完毕。该债券的单,财务数据,212,45
位票面金额为人民币100元，前5年票面利率为4.10%，每5年调整一次。于2020年2月21日，,财务数据,212,48
本行发行总额为人民币300亿元的减记型无固定期限资本债券，该次发行于2020年2月25日,财务数据,212,44
发行完毕。该债券的单位票面金额为人民币100元，前5年票面利率为3.85%，每5年调整一,财务数据,212,44
币59百万元(2022年度：无)；于2023年度本行向长期服务计划支付应承担的购股成本人民币56,财务数据,213,48
人民币4百万元(2022年度：无)；于2023年度本行发生的长期服务计划股份支付费用以及以股,财务数据,213,46
份支付换取的职工服务总额为人民币3百万元(2022年度：无)。,财务数据,213,31
根据公司法，本行需要按税后利润的10%提取法定盈余公积。当本行法定盈余公积累计额为本行注,财务数据,214,44
册资本的50%以上时，可以不再提取法定盈余公积。经股东大会批准，本行提取的法定盈余公积可,财务数据,214,44
例派送新股，但所留存的法定盈余公积不得少于注册资本的25%。提取任意盈余公积由股东大会决,财务数据,214,44
根据财政部的有关规定，本行一般风险准备计提标准为风险资产年末余额的1.5%。一般风险准备还,财务数据,214,45
"取一般风险准备金为人民币2,849百万元，本年本行法定盈余公积累计额为本行注册资本的50%以",财务数据,214,46
"分配方案，本行派发2022年度现金股利人民币5,531百万元。",财务数据,214,31
本行董事会于2023年2月27日决议通过，以优先股发行量2亿股(每股面值人民币100元)为基数，按,公司治理,214,49
照票面股息率4.37%计算，每股优先股派发股息人民币4.37元(含税)。本次优先股股息的计息期间为,财务数据,214,49
2022年3月7日至2023年3月6日，派息日为2023年3月7日。本次派发股息合计人民币874百万元(含,财务数据,214,53
于2023年2月25日，本行按照2020年第一期无固定期限资本债券条款确定的计息期债券利率3.85%,财务数据,214,50
"计算，发放的永续债利息为人民币1,155百万元。于2023年12月26日，本行按照2019年第一期无固",财务数据,214,51
定期限资本债券条款确定的计息期债券利率4.10%计算，发放的永续债利息为人民币820百万元。,财务数据,214,46
按法定税率25%计算的所得税,财务数据,222,14
按法定税率25%计算的所得税,财务数据,222,14
"百万元(2022年12月31日：人民币886,840百万元)。",财务数据,230,31
"入合并范围的该等特定目的信托的发起总规模为人民币21,639百万元(2022年12月31日：人民币",财务数据,230,49
"43,748百万元)。本集团作为该特定目的信托的贷款服务机构，对转让予特定目的信托的信贷资产进",财务数据,230,47
"为人民币1,796百万元(2022年12月31日：人民币1,883百万元)，其账面价值与其公允价值相若。",财务数据,230,52
"的风险水平。于2023年12月31日，本集团确认的继续涉入资产价值为人民币1,487百万元(2022年",财务数据,230,51
"12月31日：人民币1,487百万元)。",财务数据,230,20
收入总额10%的情况。,财务数据,240,11
"于2023年12月31日，本集团及本行作为被告的未决诉讼案件标的金额共计人民币1,667百万元",财务数据,242,47
"(2022年12月31日：人民币1,028百万元)。有关案件均处于审理阶段。管理层认为，本集团及本行",财务数据,242,50
"子式)的本金余额为人民币985百万元(2022年12月31日：人民币1,023百万元)和人民币2,718百万元",财务数据,242,55
"(2022年12月31日：人民币2,620百万元)。财政部对提前兑付的凭证式国债不会即时兑付，但会在",财务数据,242,50
9.22%,财务数据,243,5
8.64%,财务数据,243,5
10.90%,财务数据,243,6
10.40%,财务数据,243,6
13.43%,财务数据,243,6
13.01%,财务数据,243,6
景下预测值平均约为5%，乐观情景预测值较基准上浮0.49个百分点，悲观情景预测值较基准下降,财务数据,247,45
0.40个百分点；在2025年基准情景下预测值平均约为4.79%，乐观情景预测值较基准上浮0.46个百,财务数据,247,51
重。于2023 年度，基准情景权重占比最高，其余情景权重均小于25%。,财务数据,248,35
假设乐观情景的权重增加10%，而基准情景的权重减少10%，本集团于2023 年12 月31 日的信用,财务数据,248,50
减值准备减少19.82 亿元(2022 年12 月31 日：人民币11.77 亿元)；假设悲观情景的权重增加10%，,财务数据,248,58
而基准情景的权重减少10%，本集团及本行的信用减值准备增加12.36 亿元(2022 年12 月31 日：,财务数据,248,53
人民币11.44 亿元)。,财务数据,248,13
注：于2023年12月31日，本集团及本行已发生信用减值的发放贷款和垫款有金额为人民币167百万,财务数据,265,48
元的减值准备计入其他综合收益(2022年12月31日：人民币63百万元)。于2023年12月31日，,财务数据,265,50
本集团及本行已发生信用减值的其他债权投资有金额为人民币42百万元的减值准备计入其他,财务数据,265,41
综合收益(2022年12月31日：人民币191百万元)。,财务数据,265,28
"日，本集团及本行重组贷款和垫款余额为人民币32,030 百万元(2022 年12 月31 日：人民币17,107",财务数据,266,56
(以下简称“平安寿险”)合计持有本行58%的股份。其中，中国平安持有本行49.56%的股份，平安寿,财务数据,288,49
险持有本行8.44%的股份。,财务数据,288,14
持有本集团5%以下股份、向本集团派驻董事,财务数据,288,20
持有本集团5%以下股份、向本集团派驻监事,财务数据,288,20
注2： 于2016年3月7日，本集团按面值完成了2亿股优先股的发行，发行总金额为人民币200亿元，,财务数据,289,49
扣除发行费用后实际募集资金净额为人民币199.53亿元。平安集团认购了发行总额中人民币,财务数据,289,43
116亿元，扣除发行费用后实际认购金额为人民币115.89亿元。于2023年3月7日，本集团按,财务数据,289,47
票面股息率4.37%发放优先股利，向平安集团发放优先股息合计人民币5.07亿元。,财务数据,289,40
于2023 年12 月31 日上述贷款的年利率为2.83%(2022 年12 月31 日:1.13%-3.08%)。,财务数据,290,58
"控制或施加重大影响的企业授信额度为人民币2,200 百万元(2022 年12 月31 日：无)；已使用的授",财务数据,291,53
信额度为人民币486 百万元(2022 年12 月31 日：无)，发放贷款和垫款无余额(2022 年12 月31,财务数据,291,56
"日：无)。于2023 年12 月31 日，本集团吸收以上关联企业的存款人民币6,058 百万元(2022 年12",财务数据,291,56
"月31 日：人民币5,309 百万元)。以上均不含属于本集团与中国平安及其关联方的关联交易。",财务数据,291,46
经2024 年2 月8 日本行第十二届董事会第二十一次会议批准，本行以优先股发行量2 亿股(每股面,公司治理,291,49
值人民币100 元)为基数，按照票面股息率4.37%计算，每股优先股派发股息人民币4.37 元(含税)。,财务数据,291,52
本次派发股息合计人民币874 百万元(含税)，由本行直接向优先股股东发放。,财务数据,291,37
"3.85%计算，发放的永续债利息为人民币1,155 百万元。",财务数据,291,30
"2023 年12 月31 日的总股本19,406 百万股为基数，每10 股派发现金股利人民币7.19 元(含税)。",财务数据,291,57
融债券，此次债券发行规模为人民币150 亿元，期限为3 年，票面利率为2.46%。,财务数据,291,41
债券发行规模为人民币50 亿元，期限为3 年，票面利率为2.46%。,财务数据,291,34
11.38%,财务数据,294,6
11.38%,财务数据,294,6
12.36%,财务数据,294,6
12.33%,财务数据,294,6
"19,405,918,198 股为基数，向全体股东每10 股派发现金股利人民币7.19 元（含税），不送红股，不以公积",公司治理,1,59
4.37%,财务数据,1,5
(8.4%),财务数据,3,6
27.90%,财务数据,3,6
27.45%,财务数据,3,6
0.85%,财务数据,3,5
0.89%,财务数据,3,5
11.38%,财务数据,3,6
12.36%,财务数据,3,6
2.38%,财务数据,3,5
2.75%,财务数据,3,5
28.36%,财务数据,3,6
27.66%,财务数据,3,6
1.06%,财务数据,3,5
1.05%,财务数据,3,5
277.63%,财务数据,3,7
290.28%,财务数据,3,7
13.43%,财务数据,3,6
13.01%,财务数据,3,6
10.3%,财务数据,3,5
10.3%,财务数据,3,5
(8.4%),财务数据,3,6
(9.1%),财务数据,3,6
(17.1%),财务数据,3,7
(31.3%),财务数据,4,7
(31.3%),财务数据,4,7
发行200 亿元非累积型优先股，于2019 年12 月和2020 年2 月分别发行了200 亿元、300 亿元无固定期限资本债,财务数据,4,63
股东的净利润”扣除了已发放的优先股股息8.74 亿元和永续债利息19.75 亿元。,财务数据,4,41
(3.4%),财务数据,6,6
16.7%,财务数据,6,5
11.5%,财务数据,6,5
12.1%,财务数据,6,5
(3.4%),财务数据,6,6
(86.8%),财务数据,6,7
29.4%,财务数据,6,5
(44.4%),财务数据,6,7
(78.0%),财务数据,6,7
2023 年1 月1 日起执行附加资本0.25%等要求。,财务数据,8,28
9.22%,财务数据,8,5
8.97%,财务数据,8,5
8.64%,财务数据,8,5
8.41%,财务数据,8,5
10.90%,财务数据,8,6
10.65%,财务数据,8,6
10.40%,财务数据,8,6
10.18%,财务数据,8,6
13.43%,财务数据,8,6
13.19%,财务数据,8,6
13.01%,财务数据,8,6
12.79%,财务数据,8,6
6.43%,财务数据,9,5
6.44%,财务数据,9,5
6.39%,财务数据,9,5
6.36%,财务数据,9,5
年1 月1 日起执行附加杠杆率0.125%的要求，即杠杆率的最低监管要求为4.125%，当前本集团杠杆率满足附加监管要,财务数据,9,59
112.34%,财务数据,9,7
101.25%,财务数据,9,7
115.60%,财务数据,9,7
105.49%,财务数据,9,7
108.59%,财务数据,9,7
109.44%,财务数据,9,7
(3.8%),财务数据,10,6
12.6%,财务数据,10,5
(3.4%),财务数据,11,6
16.7%,财务数据,11,5
11.5%,财务数据,11,5
(3.4%),财务数据,11,6
1.06%,财务数据,11,5
1.05%,财务数据,11,5
0.63%,财务数据,11,5
0.61%,财务数据,11,5
1.37%,财务数据,11,5
1.32%,财务数据,11,5
